sample_id,cat,domain,level,native_chain_length,critical_path_length,parallelism_ratio,candidate_orderings,retained_orderings,filtered_orderings,bucket,max_parallelism,retained_ordering_distance_mean,retained_ordering_distance_median,retained_ordering_distance_max
f2feb6a4-363c-4c09-a804-0db564eafd68,A,Text,2,9,5,0.4444444444444444,50,49,0,multi-order-rich,2,0.23242630385487534,0.2222222222222222,0.4444444444444444
3cef3a44-215e-4aed-8e3b-b1e3f08063b7,A,Text,1,4,4,0.0,1,0,0,native-only,1,,,
50f58759-7bd6-406f-9b0d-5692beb2a926,A,Text,3,7,7,0.0,1,0,1,native-only,1,,,
0b260a57-3f3a-4405-9f29-6d7a1012dbfb,A,Text,2,13,13,0.0,1,0,0,native-only,1,,,
ed58682d-bc52-4baa-9eb0-4eb81e1edacc,A,Text,2,12,12,0.0,1,0,1,native-only,1,,,
872bfbb1-9ccf-49f6-8c5f-aa22818ccd66,A,Text,3,10,7,0.30000000000000004,50,49,0,multi-order-rich,2,0.10657596371882085,0.1111111111111111,0.2
c3a79cfe-8206-451f-aca8-3fec8ebe51d3,A,Text,3,23,11,0.5217391304347826,50,4,46,multi-order-rich,4,0.3221343873517787,0.3241106719367589,0.33201581027667987
d0633230-7067-47a9-9dbf-ee11e0a2cdd6,A,Text,1,6,6,0.0,1,0,1,native-only,1,,,
023e9d44-96ae-4eed-b912-244ee8c3b994,A,Text,2,14,8,0.4285714285714286,50,47,3,multi-order-rich,3,0.1276595744680851,0.12087912087912088,0.1978021978021978
305ac316-eef6-4446-960a-92d80d542f82,A,Text,1,3,3,0.0,1,0,0,native-only,1,,,
0e9e85b8-52b9-4de4-b402-5f635ab9631f,A,Text,2,4,4,0.0,1,0,0,native-only,1,,,
20194330-9976-4043-8632-f8485c6c71b2,A,Text,2,5,5,0.0,1,0,0,native-only,1,,,
0383a3ee-47a7-41a4-b493-519bdefe0488,A,Text,1,3,3,0.0,1,0,0,native-only,1,,,
65638e28-7f37-4fa7-b7b9-8c19bb609879,A,Text,2,5,5,0.0,1,0,0,native-only,1,,,
